portid,portname,country_std,iso3,distance_km,within_500km,within_1000km
chokepoint4,Bab el-Mandeb Strait,Yemen,YEM,14.437454583242213,TRUE,TRUE
chokepoint4,Bab el-Mandeb Strait,Eritrea,ERI,27.415672803713587,TRUE,TRUE
chokepoint4,Bab el-Mandeb Strait,Djibouti,DJI,27.462268432006773,TRUE,TRUE
chokepoint4,Bab el-Mandeb Strait,Saudi Arabia,SAU,414.1958582780783,TRUE,TRUE
chokepoint4,Bab el-Mandeb Strait,Somalia,SOM,645.784714524014,FALSE,TRUE
chokepoint4,Bab el-Mandeb Strait,Sudan,SDN,777.6547206436433,FALSE,TRUE
chokepoint4,Bab el-Mandeb Strait,Kenya,KEN,995.6709515051025,FALSE,TRUE
chokepoint4,Bab el-Mandeb Strait,Oman,OMN,1165.1162784239655,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Egypt,EGY,1289.4980000077687,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,United Arab Emirates,ARE,1563.6992831699688,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Qatar,QAT,1619.3100198598859,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Bahrain,BHR,1728.9222346277286,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Congo - Kinshasa,COD,1734.8657648255316,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Tanzania,TZA,1849.751350388071,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Kuwait,KWT,1930.716450289628,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Iraq,IRQ,1959.0999144362002,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Iran,IRN,2006.2250336012617,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Jordan,JOR,2115.63471218207,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Israel,ISR,2200.3342125171257,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Libya,LBY,2207.941722002404,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Seychelles,SYC,2354.5715786748437,FALSE,FALSE
chokepoint4,Bab el-Mandeb Strait,Syria,SYR,2465.68117572045,FALSE,FALSE
